                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86782,                 3.7695,                  1.367,                0.02126,                 0.9375,                0.23697,                0.13282,                0.63139,                 4.3284,                 1.2586,              4.669e-05,              4.669e-05,              4.669e-05
                      2,                0.76719,                 3.6472,                 1.3317,                0.02266,                 0.9375,                0.26429,                0.18348,                0.70264,                 4.3585,                  1.301,             9.5098e-05,             9.5098e-05,             9.5098e-05
                      3,                0.75855,                 3.4504,                 1.3091,                0.02216,                 0.9375,                0.25979,                0.16449,                0.79666,                 4.3434,                 1.3392,             0.00013822,             0.00013822,             0.00013822
                      4,                0.74092,                 3.3367,                 1.3156,                 0.0261,                0.96875,                0.27443,                0.16899,                0.92744,                 4.3046,                   1.47,             0.00017606,             0.00017606,             0.00017606
                      5,                0.70229,                 3.1812,                 1.2749,                0.02885,                0.89583,                0.33007,                0.21792,                0.90842,                 4.2595,                 1.4973,             0.00020862,             0.00020862,             0.00020862
                      6,                0.75642,                 2.9363,                 1.3243,                0.03196,                0.89583,                0.39599,                0.24141,                  0.922,                  4.232,                 1.5003,              0.0002359,              0.0002359,              0.0002359
                      7,                0.73677,                 2.6345,                 1.3076,                 0.0303,                0.89583,                0.42271,                0.28529,                0.88404,                 4.1467,                 1.5279,              0.0002579,              0.0002579,              0.0002579
                      8,                0.75834,                 2.5995,                 1.3343,                0.91727,                0.09784,                0.46694,                0.29764,                0.96572,                 3.9935,                 1.5728,             0.00027461,             0.00027461,             0.00027461
                      9,                0.81805,                 2.3862,                 1.3604,                0.78015,                0.09653,                0.45208,                0.27932,                 1.0173,                 4.0187,                 1.6463,             0.00028604,             0.00028604,             0.00028604
                     10,                0.78276,                 2.3593,                 1.3442,                 0.9019,                 0.1679,                0.52956,                0.31567,                  1.033,                  4.053,                 1.6829,             0.00029218,             0.00029218,             0.00029218
                     11,                0.75413,                 2.6559,                 1.4038,                0.93127,                  0.125,                0.30231,                0.14678,                 1.2722,                 4.2307,                 1.9644,             0.00029305,             0.00029305,             0.00029305
                     12,                0.69419,                  2.503,                 1.3349,                0.74451,                0.15614,                 0.3594,                0.18756,                 1.2418,                  4.094,                 1.9335,             0.00028863,             0.00028863,             0.00028863
                     13,                0.69656,                 2.4924,                 1.3153,                0.72784,                 0.3122,                0.45322,                0.30137,                 1.1105,                 3.7264,                 1.7732,              0.0002708,              0.0002708,              0.0002708
                     14,                0.67375,                 2.3156,                 1.3016,                0.69534,                0.30529,                0.44513,                0.29071,                 1.1034,                 3.4774,                 1.7924,              0.0002708,              0.0002708,              0.0002708
                     15,                0.63497,                 2.2751,                 1.2842,                0.69163,                0.45833,                0.54495,                0.37493,                 1.0138,                 3.2304,                 1.6979,             0.00023779,             0.00023779,             0.00023779
                     16,                0.60059,                  2.112,                 1.2608,                0.71379,                    0.5,                0.58974,                0.42802,                0.93704,                 3.0652,                 1.5783,             0.00020477,             0.00020477,             0.00020477
                     17,                0.59624,                 2.1738,                 1.2547,                0.69882,                 0.5571,                0.57844,                0.44689,                0.94098,                 3.0042,                 1.5392,             0.00017175,             0.00017175,             0.00017175
                     18,                0.58986,                 2.0202,                 1.2461,                0.76448,                0.55155,                0.56878,                0.42059,                0.96062,                 3.0939,                 1.5671,             0.00013874,             0.00013874,             0.00013874
                     19,                0.57782,                 1.9895,                 1.1739,                0.69205,                0.49575,                0.57593,                0.39238,                 1.0074,                 3.2333,                 1.6278,             0.00010572,             0.00010572,             0.00010572
                     20,                0.53231,                 1.8787,                  1.137,                0.66383,                0.61012,                0.58197,                0.40589,                0.99816,                 3.2313,                 1.6161,             7.2703e-05,             7.2703e-05,             7.2703e-05
